sepal_length,sepal_width,petal_length,petal_width,index,species,species
5.1,3.5,1.4,0.2,a1,1,setosa
4.9,3,1.4,0.2,a2,1,setosa
4.7,3.2,1.3,0.2,a3,1,setosa
4.6,3.1,1.5,0.2,a4,1,setosa
5,3.6,1.4,0.2,a5,1,setosa
5.4,3.9,1.7,0.4,a6,1,setosa
4.6,3.4,1.4,0.3,a7,1,setosa
5,3.4,1.5,0.2,a8,1,setosa
4.4,2.9,1.4,0.2,a9,1,setosa
4.9,3.1,1.5,0.1,a10,1,setosa
5.4,3.7,1.5,0.2,a11,1,setosa
4.8,3.4,1.6,0.2,a12,1,setosa
4.8,3,1.4,0.1,a13,1,setosa
4.3,3,1.1,0.1,a14,1,setosa
5.8,4,1.2,0.2,a15,1,setosa
5.7,4.4,1.5,0.4,a16,1,setosa
5.4,3.9,1.3,0.4,a17,1,setosa
5.1,3.5,1.4,0.3,a18,1,setosa
5.7,3.8,1.7,0.3,a19,1,setosa
5.1,3.8,1.5,0.3,a20,1,setosa
5.4,3.4,1.7,0.2,a21,1,setosa
5.1,3.7,1.5,0.4,a22,1,setosa
4.6,3.6,1,0.2,a23,1,setosa
5.1,3.3,1.7,0.5,a24,1,setosa
4.8,3.4,1.9,0.2,a25,1,setosa
5,3,1.6,0.2,a26,1,setosa
5,3.4,1.6,0.4,a27,1,setosa
5.2,3.5,1.5,0.2,a28,1,setosa
5.2,3.4,1.4,0.2,a29,1,setosa
4.7,3.2,1.6,0.2,a30,1,setosa
4.8,3.1,1.6,0.2,a31,1,setosa
5.4,3.4,1.5,0.4,a32,1,setosa
5.2,4.1,1.5,0.1,a33,1,setosa
5.5,4.2,1.4,0.2,a34,1,setosa
4.9,3.1,1.5,0.1,a35,1,setosa
5,3.2,1.2,0.2,a36,1,setosa
5.5,3.5,1.3,0.2,a37,1,setosa
4.9,3.1,1.5,0.1,a38,1,setosa
4.4,3,1.3,0.2,a39,1,setosa
5.1,3.4,1.5,0.2,a40,1,setosa
5,3.5,1.3,0.3,a41,1,setosa
4.5,2.3,1.3,0.3,a42,1,setosa
4.4,3.2,1.3,0.2,a43,1,setosa
5,3.5,1.6,0.6,a44,1,setosa
5.1,3.8,1.9,0.4,a45,1,setosa
4.8,3,1.4,0.3,a46,1,setosa
5.1,3.8,1.6,0.2,a47,1,setosa
4.6,3.2,1.4,0.2,a48,1,setosa
5.3,3.7,1.5,0.2,a49,1,setosa
5,3.3,1.4,0.2,a50,1,setosa
7,3.2,4.7,1.4,a51,-1,versicolor
6.4,3.2,4.5,1.5,a52,-1,versicolor
6.9,3.1,4.9,1.5,a53,-1,versicolor
5.5,2.3,4,1.3,a54,-1,versicolor
6.5,2.8,4.6,1.5,a55,-1,versicolor
5.7,2.8,4.5,1.3,a56,-1,versicolor
6.3,3.3,4.7,1.6,a57,-1,versicolor
4.9,2.4,3.3,1,a58,-1,versicolor
6.6,2.9,4.6,1.3,a59,-1,versicolor
5.2,2.7,3.9,1.4,a60,-1,versicolor
5,2,3.5,1,a61,-1,versicolor
5.9,3,4.2,1.5,a62,-1,versicolor
6,2.2,4,1,a63,-1,versicolor
6.1,2.9,4.7,1.4,a64,-1,versicolor
5.6,2.9,3.6,1.3,a65,-1,versicolor
6.7,3.1,4.4,1.4,a66,-1,versicolor
5.6,3,4.5,1.5,a67,-1,versicolor
5.8,2.7,4.1,1,a68,-1,versicolor
6.2,2.2,4.5,1.5,a69,-1,versicolor
5.6,2.5,3.9,1.1,a70,-1,versicolor
5.9,3.2,4.8,1.8,a71,-1,versicolor
6.1,2.8,4,1.3,a72,-1,versicolor
6.3,2.5,4.9,1.5,a73,-1,versicolor
6.1,2.8,4.7,1.2,a74,-1,versicolor
6.4,2.9,4.3,1.3,a75,-1,versicolor
6.6,3,4.4,1.4,a76,-1,versicolor
6.8,2.8,4.8,1.4,a77,-1,versicolor
6.7,3,5,1.7,a78,-1,versicolor
6,2.9,4.5,1.5,a79,-1,versicolor
5.7,2.6,3.5,1,a80,-1,versicolor
5.5,2.4,3.8,1.1,a81,-1,versicolor
5.5,2.4,3.7,1,a82,-1,versicolor
5.8,2.7,3.9,1.2,a83,-1,versicolor
6,2.7,5.1,1.6,a84,-1,versicolor
5.4,3,4.5,1.5,a85,-1,versicolor
6,3.4,4.5,1.6,a86,-1,versicolor
6.7,3.1,4.7,1.5,a87,-1,versicolor
6.3,2.3,4.4,1.3,a88,-1,versicolor
5.6,3,4.1,1.3,a89,-1,versicolor
5.5,2.5,4,1.3,a90,-1,versicolor
5.5,2.6,4.4,1.2,a91,-1,versicolor
6.1,3,4.6,1.4,a92,-1,versicolor
5.8,2.6,4,1.2,a93,-1,versicolor
5,2.3,3.3,1,a94,-1,versicolor
5.6,2.7,4.2,1.3,a95,-1,versicolor
5.7,3,4.2,1.2,a96,-1,versicolor
5.7,2.9,4.2,1.3,a97,-1,versicolor
6.2,2.9,4.3,1.3,a98,-1,versicolor
5.1,2.5,3,1.1,a99,-1,versicolor
5.7,2.8,4.1,1.3,a100,-1,versicolor
